,beer_name,rating,link
75,Keene Idea,4.62,https://www.beeradvocate.com/beer/profile/3120/84225/
76,Black Note Stout,4.57,https://www.beeradvocate.com/beer/profile/287/37265/
77,Anabasis,4.73,https://www.beeradvocate.com/beer/profile/32319/157262/
78,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,4.61,https://www.beeradvocate.com/beer/profile/13307/113093/
79,Triple Shot,4.61,https://www.beeradvocate.com/beer/profile/28743/160275/
80,Bourbon Paradise,4.61,https://www.beeradvocate.com/beer/profile/30356/314813/
81,Saint Lamvinus,4.57,https://www.beeradvocate.com/beer/profile/388/8954/
82,V.S.O.J.,4.69,https://www.beeradvocate.com/beer/profile/22072/264097/
83,Flora Plum,4.63,https://www.beeradvocate.com/beer/profile/22511/163263/
84,Galaxy Dry Hopped Fort Point Pale Ale,4.57,https://www.beeradvocate.com/beer/profile/30654/107406/
85,The Broken Truck,4.63,https://www.beeradvocate.com/beer/profile/31540/173144/
86,Abricot Du Fermier,4.62,https://www.beeradvocate.com/beer/profile/32319/137889/
87,Alter Ego,4.56,https://www.beeradvocate.com/beer/profile/28743/176650/
88,Saison Du Fermier,4.58,https://www.beeradvocate.com/beer/profile/32319/99350/
89,Breakfast Stout,4.55,https://www.beeradvocate.com/beer/profile/1199/11757/
90,Black Gold,4.58,https://www.beeradvocate.com/beer/profile/652/185536/
91,Sunday Brunch,4.58,https://www.beeradvocate.com/beer/profile/26676/129108/
92,West Ashley,4.57,https://www.beeradvocate.com/beer/profile/28019/84772/
93,Pseudo Sue - Double Dry-Hopped,4.56,https://www.beeradvocate.com/beer/profile/23222/232168/
94,Trappistes Rochefort 10,4.55,https://www.beeradvocate.com/beer/profile/207/645/
95,A Deal With The Devil,4.57,https://www.beeradvocate.com/beer/profile/24903/89499/
96,§ucaba,4.55,https://www.beeradvocate.com/beer/profile/2210/41121/
97,Coffee Cinnamon B-Bomb,4.57,https://www.beeradvocate.com/beer/profile/20680/149554/
98,Beyond Good And Evil,4.58,https://www.beeradvocate.com/beer/profile/22511/112080/
99,It Was All A Dream,4.74,https://www.beeradvocate.com/beer/profile/36710/263446/
100,Bourbon Barrel Aged Plead The 5th,4.55,https://www.beeradvocate.com/beer/profile/1471/60426/
101,Notorious Triple IPA,4.57,https://www.beeradvocate.com/beer/profile/23066/70013/
102,Last Buffalo In The Park,4.57,https://www.beeradvocate.com/beer/profile/31805/153905/
103,Ghost In The Machine - Double Dry-Hopped,4.63,https://www.beeradvocate.com/beer/profile/24822/316306/
104,Society & Solitude #5,4.55,https://www.beeradvocate.com/beer/profile/22511/85523/
105,Miami Madness,4.59,https://www.beeradvocate.com/beer/profile/36710/155870/
106,Pirate Paradise,4.62,https://www.beeradvocate.com/beer/profile/30356/247386/
107,Cutting Tiles (Mosaic),4.55,https://www.beeradvocate.com/beer/profile/30654/169611/
108,Blåbær Lambik,4.56,https://www.beeradvocate.com/beer/profile/388/36316/
109,Samuel Adams Utopias,4.54,https://www.beeradvocate.com/beer/profile/35/25759/
110,The Rusty Nail,4.57,https://www.beeradvocate.com/beer/profile/20680/116702/
111,Pirate Bomb!,4.54,https://www.beeradvocate.com/beer/profile/30356/102340/
112,Speedway Stout - Bourbon Barrel-Aged,4.54,https://www.beeradvocate.com/beer/profile/396/31484/
113,The Peach,4.62,https://www.beeradvocate.com/beer/profile/31540/199469/
114,Double Shot,4.55,https://www.beeradvocate.com/beer/profile/28743/113784/
115,Grey Monday,4.54,https://www.beeradvocate.com/beer/profile/16866/74295/
116,Great,4.56,https://www.beeradvocate.com/beer/profile/3120/25364/
117,Mexican Brunch,4.57,https://www.beeradvocate.com/beer/profile/26676/173480/
